Model,Prompt,Negative,Neutral,Positive
GPT 3.5,0,29.129129129129126,34.134134134134136,36.73673673673674
GPT 4,0,18.51851851851852,67.56756756756756,13.913913913913914
Mistral,0,23.523523523523522,62.66266266266266,13.813813813813812
GPT 3.5,1,36.23623623623624,31.931931931931935,31.83183183183183
GPT 4,1,16.716716716716718,73.67367367367368,9.60960960960961
Mistral,1,21.12112112112112,65.96596596596596,12.912912912912914
GPT 3.5,3,10.21021021021021,85.38538538538538,4.404404404404405
GPT 4,3,12.951807228915662,82.53012048192771,4.518072289156627
Mistral,3,26.726726726726728,59.85985985985987,13.413413413413414
GPT 3.5,4,13.213213213213212,75.37537537537537,11.411411411411411
GPT 4,4,11.01101101101101,79.57957957957959,9.40940940940941
Mistral,4,32.732732732732735,50.750750750750754,16.516516516516518
GPT 3.5,5,12.912912912912914,76.47647647647648,10.61061061061061
GPT 4,5,11.911911911911911,77.27727727727728,10.81081081081081
Mistral,5,35.03503503503504,48.548548548548546,16.416416416416414
GPT 3.5,6,13.613613613613614,76.87687687687688,9.50950950950951
GPT 4,6,11.31131131131131,79.17917917917919,9.50950950950951
Mistral,6,33.233233233233236,51.751751751751755,15.015015015015015
GPT 3.5,7,41.64164164164164,47.44744744744745,10.91091091091091
GPT 4,7,9.30930930930931,81.58158158158159,9.10910910910911
Mistral,7,25.925925925925924,47.44744744744745,26.626626626626624
GPT 3.5,8,10.11011011011011,75.37537537537537,14.514514514514515
GPT 4,8,9.80980980980981,76.87687687687688,13.313313313313312
Mistral,8,28.128128128128125,54.75475475475476,17.117117117117118
